,Length,Width,Height,Weight
0,3.6585,1.76,1.4875,1082.5
1,3.6585,1.76,1.4875,1052.5
2,3.6585,1.76,1.485,1033.5
3,4.0495,1.74,1.233,1070.0
4,3.657,1.627,1.485,1040.0
5,3.657,1.893,1.485,1085.0
6,3.6585,1.637,1.485,1062.5
7,4.041,1.721,1.49,1185.0
8,4.065,1.967,1.478,1185.0
12,2.865,1.44,1.88,400.0
14,2.897,1.474,1.45,380.0
16,3.02,1.487,1.54,380.0
19,3.989,2.09,1.183,914.5
20,4.6445,2.024,1.4235,1524.5
21,4.351,1.798,1.465,1345.0
22,4.6945,2.033,1.6565,1717.0
23,4.077,1.8335,1.4285,1190.0
24,4.173,1.8335,1.423,1225.0
25,4.1965,1.729,1.442,1250.0
26,4.213,1.764,1.442,1360.0
27,4.444,1.754,1.425,1285.0
28,4.4355,1.7285,1.423,1300.0
29,4.4355,1.749,1.4225,1342.5
30,4.43,1.745,1.43,1435.0
31,4.66,1.828,1.4195,1515.0
32,4.66,1.828,1.4195,1565.0
33,4.61,1.756,1.39,1455.0
34,4.72,1.765,1.416,1485.0
37,3.989,2.09,1.183,940.0
42,4.41,1.83,1.341,1527.5
44,4.489,1.763,1.3605,1350.0
45,4.292,1.778,1.318,1392.5
47,4.063,1.72,1.446,1102.5
48,4.393,1.83,1.318,1587.5
49,4.292,1.778,1.315,1420.0
52,4.18,1.98,1.25,1110.5
55,4.7445,2.06,1.2845,1815.0
56,4.75,2.06,1.3,1870.0
57,4.715,2.145,1.295,1945.0
58,4.715,2.145,1.295,1870.0
59,5.039,2.22,1.68,2245.0
60,5.019,2.14,1.355,1970.0
61,4.711,2.0685,1.2945,1794.0
62,4.464,2.051,1.271,1652.5
64,3.078,1.68,1.5,988.0
65,4.669,1.83,1.2405,1813.5
66,4.669,1.83,1.2675,1885.0
67,4.7085,2.039,1.276,1825.0
68,4.721,2.06,1.28,1752.5
69,4.745,1.918,1.32,1950.0
70,4.945,1.918,1.38,2050.0
72,4.665,1.998,1.318,1847.5
73,4.3865,2.046,1.2555,1641.5
74,4.745,1.944,1.32,1990.0
76,4.703,2.061,1.2855,1837.5
77,4.747,1.899,1.33,1990.0
79,4.029,1.94,1.409,1182.5
81,4.347,1.984,1.4225,1390.0
82,4.426,1.8765,1.3985,1537.5
83,4.4995,1.984,1.42,1365.0
84,4.748,2.022,1.4175,1557.5
85,4.7535,2.022,1.419,1602.5
87,4.728,2.029,1.3695,1587.5
88,4.685,2.029,1.3775,1705.0
89,4.758,2.029,1.385,1620.0
90,4.9435,2.098,1.4515,1822.5
91,4.967,2.098,1.461,1887.5
100,4.495,2.023,1.567,1582.5
101,4.5035,2.023,1.567,1575.0
106,4.4275,2.037,1.24,1620.0
107,4.4275,2.037,1.243,1715.0
108,4.189,1.966,1.348,1330.0
109,4.189,1.966,1.35,1420.0
122,3.9645,1.906,1.4165,1175.0
123,3.9645,1.906,1.4225,1200.0
124,3.975,1.906,1.42,1327.5
125,3.826,1.673,1.553,962.5
126,4.286,1.966,1.3355,1367.5
127,4.4675,1.96,1.404,1360.0
128,4.2445,1.966,1.4125,1290.0
129,4.3615,1.963,1.396,1512.5
130,4.343,1.966,1.411,1520.0
131,4.289,1.977,1.423,1395.0
132,4.238,2.0135,1.424,1412.5
133,4.258,1.977,1.4005,1485.0
134,4.2205,1.977,1.421,1355.0
135,4.302,2.023,1.402,1650.0
136,4.1585,1.8325,1.421,1185.0
